"filename", "language", "CSS", "JSON with Comments", "JSON", "Markdown", "Prisma", "TypeScript React", "JavaScript", "XML", "SQL", "TypeScript", "Properties", "comment", "blank", "total"
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\ReceiptsPageDNU.tsx", "TypeScript React", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 14, 74
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\_app.tsx", "TypeScript React", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\api\assetMapping.tsx", "TypeScript React", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 10, 38
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\api\expenseMapping.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 8, 31
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\api\fills.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 10, 42
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\api\getCurrentModel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 1, 10, 62
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\api\hello.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 3, 14
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\api\receipts.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 8, 12, 57
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\api\setCurrentModel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 0, 23, 24, 249
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\api\updateTable.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 12, 13, 41
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\pages\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 34, 298
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\prisma\migrations\20221101193326_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 12, 18, 193
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 21, 168
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 1, 1, 85
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\styles\Home.module.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\styles\globals.css", "CSS", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 58
"c:\Users\Mspag\Desktop\typescript-projects\NewContainerApp\container-app\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 249, 21, 5703, 20, 147, 2098, 77, 87, 163, 747, 1, 145, 676, 10134
